Model,0-25%,25-50%,50-75%,75-100%,Reference Model Quartile,0-25%_count,25-50%_count,50-75%_count,75-100%_count
RWKV-4-Raven-14B,0.5574946733380605,-0.1690308509457033,0.7745966692414834,0.16329931618554522,0-25%,12,6,4,5
solar-10.7b-instruct-v1.0,-0.5773502691896258,0.25928148942086576,0.3153554118969138,0.0,50-75%,2,8,11,12
pplx-7b-online,-0.23570226039551587,0.20069808240170178,0.3989782869648269,0.26614532371118854,25-50%,3,11,14,16
qwen1.5-4b-chat,-0.5773502691896258,-0.4152697672499609,0.1256297269074015,0.19422854419446126,0-25%,2,8,9,13
falcon-180b-chat,-0.7745966692414834,0.18090680674665818,0.12371791482634838,0.502518907629606,25-50%,4,10,7,10
nous-hermes-2-mixtral-8x7b-dpo,0.0,0.2840042890767528,0.19767387315371676,0.27621573712949554,50-75%,3,10,12,14
stripedhyena-nous-7b,0.5773502691896258,-0.16228816518671588,0.08362420100070908,0.5968834402710811,25-50%,2,10,12,15
zephyr-7b-alpha,0.23570226039551587,-0.09938079899999065,-0.6531972647421809,0.2581988897471611,25-50%,3,9,5,4
qwen1.5-7b-chat,0.5773502691896258,0.3450327796711771,0.15971914124998496,0.2467026848422379,25-50%,2,8,8,14
mistral-7b-instruct-v0.2,,-0.5163977794943222,-0.42766860172384985,0.19028109877684682,25-50%,0,4,8,15
openchat-3.5-0106,-0.5773502691896258,0.09583148474999098,-0.09938079899999065,0.1252448582170299,25-50%,2,8,9,15
